iter	Passed	Remaining
0	27	24900
1	34	15674
2	40	12213
3	46	10354
4	51	9302
5	57	8529
6	62	7947
7	67	7523
8	73	7227
9	78	6962
10	81	6571
11	86	6406
12	91	6270
13	96	6127
14	101	6012
15	107	5922
16	112	5820
17	117	5748
18	122	5682
19	127	5601
20	132	5553
21	137	5495
22	142	5434
23	147	5383
24	152	5344
25	158	5326
26	163	5285
27	168	5242
28	173	5220
29	178	5186
30	183	5144
31	189	5132
32	194	5100
33	198	5065
34	203	5040
35	208	5010
36	213	4985
37	218	4965
38	224	4947
39	229	4927
40	234	4912
41	239	4891
42	244	4865
43	249	4848
44	254	4836
45	259	4811
46	263	4788
47	269	4788
48	274	4771
49	279	4756
50	285	4757
51	290	4743
52	295	4728
53	300	4715
54	306	4710
55	311	4700
56	316	4687
57	321	4672
58	327	4664
59	332	4655
60	337	4642
61	343	4638
62	348	4626
63	353	4617
64	358	4606
65	364	4602
66	369	4596
67	374	4587
68	380	4577
69	385	4573
70	390	4562
71	395	4548
72	400	4537
73	405	4523
74	409	4507
75	414	4497
76	419	4487
77	424	4478
78	429	4468
79	435	4464
80	441	4459
81	446	4458
82	452	4455
83	458	4453
84	464	4455
85	470	4451
86	475	4447
87	482	4448
88	487	4438
89	492	4428
90	498	4428
91	503	4422
92	509	4421
93	515	4418
94	520	4410
95	525	4404
96	531	4400
97	537	4396
98	543	4396
99	549	4394
100	554	4390
101	560	4383
102	565	4373
103	570	4363
104	575	4357
105	577	4322
106	582	4317
107	588	4313
108	593	4307
109	598	4300
110	604	4295
111	609	4289
112	615	4283
113	620	4276
114	625	4272
115	631	4268
116	632	4232
117	637	4223
118	642	4217
119	647	4211
120	652	4203
121	658	4200
122	664	4195
123	669	4188
124	674	4182
125	680	4177
126	685	4170
127	690	4163
128	696	4161
129	701	4157
130	707	4155
131	713	4148
132	718	4142
133	724	4141
134	725	4112
135	731	4106
136	736	4101
137	741	4096
138	747	4093
139	749	4066
140	754	4064
141	760	4061
142	766	4057
143	772	4054
144	778	4051
145	783	4047
146	785	4021
147	791	4020
148	796	4016
149	802	4012
150	808	4012
151	815	4010
152	820	4008
153	826	4002
154	831	3998
155	837	3994
156	843	3989
157	849	3987
158	855	3984
159	860	3981
160	865	3973
161	868	3958
162	874	3951
163	879	3947
164	885	3942
165	891	3940
166	896	3933
167	901	3928
168	907	3923
169	912	3918
170	918	3915
171	920	3895
172	926	3891
173	931	3884
174	937	3883
175	942	3877
176	947	3869
177	953	3867
178	958	3862
179	963	3854
180	969	3852
181	974	3845
182	979	3838
183	985	3833
184	987	3818
185	992	3811
186	997	3803
187	1003	3799
188	1008	3793
189	1013	3788
190	1019	3783
191	1023	3774
192	1028	3768
193	1034	3765
194	1035	3744
195	1040	3738
196	1046	3735
197	1052	3731
198	1057	3726
199	1062	3720
200	1065	3704
201	1070	3699
202	1075	3694
203	1081	3688
204	1086	3683
205	1091	3676
206	1096	3669
207	1101	3665
208	1102	3644
209	1107	3638
210	1112	3631
211	1117	3627
212	1122	3621
213	1127	3615
214	1133	3611
215	1138	3605
216	1143	3599
217	1149	3595
218	1154	3590
219	1159	3583
220	1164	3579
221	1169	3573
222	1174	3566
223	1180	3561
224	1184	3554
225	1189	3548
226	1195	3543
227	1200	3539
228	1206	3534
229	1212	3530
230	1217	3525
231	1222	3520
232	1228	3516
233	1233	3510
234	1238	3504
235	1244	3500
236	1250	3497
237	1255	3493
238	1261	3489
239	1267	3485
240	1273	3481
241	1278	3476
242	1284	3472
243	1289	3467
244	1295	3463
245	1300	3458
246	1306	3452
247	1311	3448
248	1316	3442
249	1321	3435
250	1327	3431
251	1332	3425
252	1336	3418
253	1341	3412
254	1346	3406
255	1351	3400
256	1356	3394
257	1361	3388
258	1366	3382
259	1371	3376
260	1377	3371
261	1381	3365
262	1386	3358
263	1391	3353
264	1396	3346
265	1401	3340
266	1406	3334
267	1411	3327
268	1415	3321
269	1420	3314
270	1425	3308
271	1430	3302
272	1435	3296
273	1440	3291
274	1445	3286
275	1451	3280
276	1456	3274
277	1461	3268
278	1465	3262
279	1470	3256
280	1475	3250
281	1480	3244
282	1486	3239
283	1491	3234
284	1496	3228
285	1501	3223
286	1506	3217
287	1511	3211
288	1516	3206
289	1522	3201
290	1527	3195
291	1532	3190
292	1536	3183
293	1541	3177
294	1546	3172
295	1551	3166
296	1557	3161
297	1562	3157
298	1567	3151
299	1572	3145
300	1577	3139
301	1582	3132
302	1587	3128
303	1592	3121
304	1597	3116
305	1603	3111
306	1607	3105
307	1612	3099
308	1617	3093
309	1622	3087
310	1627	3082
311	1632	3077
312	1638	3072
313	1643	3067
314	1649	3062
315	1654	3057
316	1659	3052
317	1664	3046
318	1670	3042
319	1675	3037
320	1680	3031
321	1685	3025
322	1690	3019
323	1695	3014
324	1701	3009
325	1707	3005
326	1712	3000
327	1717	2995
328	1723	2990
329	1729	2986
330	1734	2981
331	1739	2976
332	1744	2970
333	1750	2966
334	1755	2961
335	1761	2956
336	1766	2951
337	1771	2946
338	1777	2941
339	1783	2937
340	1788	2932
341	1794	2927
342	1799	2922
343	1805	2917
344	1810	2912
345	1815	2907
346	1820	2901
347	1826	2896
348	1831	2892
349	1837	2886
350	1841	2880
351	1847	2875
352	1852	2870
353	1856	2863
354	1862	2858
355	1867	2853
356	1872	2848
357	1877	2842
358	1882	2836
359	1887	2830
360	1891	2824
361	1897	2819
362	1902	2814
363	1907	2808
364	1912	2803
365	1917	2797
366	1922	2791
367	1927	2786
368	1933	2781
369	1938	2777
370	1944	2773
371	1950	2768
372	1955	2763
373	1961	2758
374	1966	2753
375	1971	2747
376	1977	2742
377	1983	2738
378	1988	2733
379	1994	2729
380	1999	2723
381	2004	2718
382	2009	2713
383	2015	2708
384	2020	2703
385	2026	2698
386	2031	2693
387	2037	2688
388	2042	2683
389	2048	2678
390	2053	2672
391	2059	2668
392	2064	2663
393	2069	2657
394	2074	2652
395	2080	2647
396	2085	2641
397	2091	2637
398	2097	2633
399	2102	2628
400	2108	2624
401	2114	2619
402	2120	2614
403	2126	2610
404	2131	2605
405	2137	2600
406	2143	2595
407	2148	2590
408	2153	2585
409	2158	2580
410	2163	2574
411	2168	2568
412	2174	2564
413	2180	2559
414	2185	2553
