date,sku_id,category,demand,price,promotion,week_of_year
2021-01-03,SKU_001,Electronics,20,424.72,1,53
2021-01-10,SKU_001,Electronics,19,424.72,0,1
2021-01-17,SKU_001,Electronics,19,424.72,0,2
2021-01-24,SKU_001,Electronics,16,424.72,0,3
2021-01-31,SKU_001,Electronics,17,424.72,1,4
2021-02-07,SKU_001,Electronics,16,424.72,0,5
2021-02-14,SKU_001,Electronics,15,424.72,0,6
2021-02-21,SKU_001,Electronics,8,424.72,0,7
2021-02-28,SKU_001,Electronics,11,424.72,0,8
2021-03-07,SKU_001,Electronics,15,424.72,0,9
2021-03-14,SKU_001,Electronics,18,424.72,0,10
2021-03-21,SKU_001,Electronics,13,424.72,0,11
2021-03-28,SKU_001,Electronics,12,424.72,0,12
2021-04-04,SKU_001,Electronics,14,424.72,0,13
2021-04-11,SKU_001,Electronics,12,424.72,0,14
2021-04-18,SKU_001,Electronics,13,424.72,0,15
2021-04-25,SKU_001,Electronics,14,424.72,0,16
2021-05-02,SKU_001,Electronics,11,424.72,0,17
2021-05-09,SKU_001,Electronics,21,424.72,1,18
2021-05-16,SKU_001,Electronics,10,424.72,0,19
2021-05-23,SKU_001,Electronics,10,424.72,0,20
2021-05-30,SKU_001,Electronics,19,424.72,1,21
2021-06-06,SKU_001,Electronics,16,424.72,0,22
2021-06-13,SKU_001,Electronics,15,424.72,0,23
2021-06-20,SKU_001,Electronics,14,424.72,0,24
2021-06-27,SKU_001,Electronics,13,424.72,0,25
2021-07-04,SKU_001,Electronics,13,424.72,0,26
2021-07-11,SKU_001,Electronics,17,424.72,0,27
2021-07-18,SKU_001,Electronics,15,424.72,0,28
2021-07-25,SKU_001,Electronics,13,424.72,0,29
2021-08-01,SKU_001,Electronics,16,424.72,1,30
2021-08-08,SKU_001,Electronics,16,424.72,0,31
2021-08-15,SKU_001,Electronics,21,424.72,1,32
2021-08-22,SKU_001,Electronics,17,424.72,0,33
2021-08-29,SKU_001,Electronics,12,424.72,0,34
2021-09-05,SKU_001,Electronics,17,424.72,1,35
2021-09-12,SKU_001,Electronics,13,424.72,0,36
2021-09-19,SKU_001,Electronics,13,424.72,0,37
2021-09-26,SKU_001,Electronics,16,424.72,0,38
2021-10-03,SKU_001,Electronics,22,424.72,1,39
2021-10-10,SKU_001,Electronics,15,424.72,0,40
2021-10-17,SKU_001,Electronics,12,424.72,0,41
2021-10-24,SKU_001,Electronics,14,424.72,0,42
2021-10-31,SKU_001,Electronics,19,424.72,0,43
2021-11-07,SKU_001,Electronics,22,424.72,0,44
2021-11-14,SKU_001,Electronics,20,424.72,0,45
2021-11-21,SKU_001,Electronics,21,424.72,0,46
2021-11-28,SKU_001,Electronics,22,424.72,0,47
2021-12-05,SKU_001,Electronics,19,424.72,0,48
2021-12-12,SKU_001,Electronics,26,424.72,1,49
2021-12-19,SKU_001,Electronics,31,424.72,1,50
2021-12-26,SKU_001,Electronics,29,424.72,1,51
2022-01-02,SKU_001,Electronics,14,424.72,0,52
