datetime,pickup_zone,ride_requests,temperature,humidity,is_raining,hour_of_day,day_of_week,is_weekend,month
2022-01-01 00:00:00,Mumbai_Central,20,40.6,60.6,1,0,5,True,1
2022-01-01 04:00:00,Mumbai_Central,20,34.1,65.5,0,4,5,True,1
2022-01-01 08:00:00,Mumbai_Central,29,20.7,73.7,0,8,5,True,1
2022-01-01 12:00:00,Mumbai_Central,17,16.7,78.2,0,12,5,True,1
2022-01-01 16:00:00,Mumbai_Central,18,23.2,63.7,0,16,5,True,1
2022-01-01 20:00:00,Mumbai_Central,28,42.8,75.6,0,20,5,True,1
2022-01-02 00:00:00,Mumbai_Central,21,19.9,68.1,0,0,6,True,1
2022-01-02 04:00:00,Mumbai_Central,18,15.3,84.1,0,4,6,True,1
2022-01-02 08:00:00,Mumbai_Central,33,32.7,81.9,0,8,6,True,1
2022-01-02 12:00:00,Mumbai_Central,15,35.1,85.9,0,12,6,True,1
2022-01-02 16:00:00,Mumbai_Central,17,37.4,79.1,1,16,6,True,1
2022-01-02 20:00:00,Mumbai_Central,34,20.8,83.1,0,20,6,True,1
2022-01-03 00:00:00,Mumbai_Central,26,16.6,75.3,1,0,0,False,1
2022-01-03 04:00:00,Mumbai_Central,25,36.3,68.7,0,4,0,False,1
2022-01-03 08:00:00,Mumbai_Central,49,22.4,66.8,0,8,0,False,1
2022-01-03 12:00:00,Mumbai_Central,29,25.4,75.3,0,12,0,False,1
2022-01-03 16:00:00,Mumbai_Central,23,26.7,75.6,0,16,0,False,1
2022-01-03 20:00:00,Mumbai_Central,46,31.2,68.5,0,20,0,False,1
2022-01-04 00:00:00,Mumbai_Central,27,31.8,67.2,0,0,1,False,1
2022-01-04 04:00:00,Mumbai_Central,28,25.9,81.8,0,4,1,False,1
2022-01-04 08:00:00,Mumbai_Central,41,24.1,65.6,0,8,1,False,1
2022-01-04 12:00:00,Mumbai_Central,26,35.4,75.4,0,12,1,False,1
2022-01-04 16:00:00,Mumbai_Central,28,21.7,87.7,1,16,1,False,1
2022-01-04 20:00:00,Mumbai_Central,44,25.4,62.8,1,20,1,False,1
2022-01-05 00:00:00,Mumbai_Central,33,30.0,79.3,0,0,2,False,1
2022-01-05 04:00:00,Mumbai_Central,23,30.8,63.0,0,4,2,False,1
2022-01-05 08:00:00,Mumbai_Central,33,33.9,67.1,0,8,2,False,1
2022-01-05 12:00:00,Mumbai_Central,31,20.4,71.0,0,12,2,False,1
2022-01-05 16:00:00,Mumbai_Central,28,16.7,81.7,0,16,2,False,1
2022-01-05 20:00:00,Mumbai_Central,41,27.7,60.5,1,20,2,False,1
2022-01-06 00:00:00,Mumbai_Central,30,29.7,88.1,0,0,3,False,1
2022-01-06 04:00:00,Mumbai_Central,28,18.0,75.5,1,4,3,False,1
2022-01-06 08:00:00,Mumbai_Central,45,30.4,87.4,0,8,3,False,1
2022-01-06 12:00:00,Mumbai_Central,31,30.1,62.8,0,12,3,False,1
2022-01-06 16:00:00,Mumbai_Central,23,24.2,63.8,0,16,3,False,1
2022-01-06 20:00:00,Mumbai_Central,51,36.7,61.6,0,20,3,False,1
2022-01-07 00:00:00,Mumbai_Central,31,21.7,60.8,1,0,4,False,1
2022-01-07 04:00:00,Mumbai_Central,30,27.1,64.7,0,4,4,False,1
2022-01-07 08:00:00,Mumbai_Central,44,15.8,70.7,0,8,4,False,1
2022-01-07 12:00:00,Mumbai_Central,21,24.1,61.2,1,12,4,False,1
2022-01-07 16:00:00,Mumbai_Central,28,2.1,65.2,0,16,4,False,1
2022-01-07 20:00:00,Mumbai_Central,45,19.8,71.2,0,20,4,False,1
2022-01-08 00:00:00,Mumbai_Central,20,26.4,77.6,1,0,5,True,1
2022-01-08 04:00:00,Mumbai_Central,23,28.5,88.8,1,4,5,True,1
2022-01-08 08:00:00,Mumbai_Central,24,24.1,69.6,0,8,5,True,1
2022-01-08 12:00:00,Mumbai_Central,16,29.7,80.9,0,12,5,True,1
2022-01-08 16:00:00,Mumbai_Central,23,34.0,89.7,0,16,5,True,1
2022-01-08 20:00:00,Mumbai_Central,36,32.9,87.1,0,20,5,True,1
2022-01-09 00:00:00,Mumbai_Central,22,30.6,88.5,0,0,6,True,1
2022-01-09 04:00:00,Mumbai_Central,20,27.0,80.2,0,4,6,True,1
2022-01-09 08:00:00,Mumbai_Central,31,28.6,73.2,1,8,6,True,1
2022-01-09 12:00:00,Mumbai_Central,17,22.6,82.8,0,12,6,True,1
2022-01-09 16:00:00,Mumbai_Central,16,32.5,62.4,0,16,6,True,1
2022-01-09 20:00:00,Mumbai_Central,43,35.0,62.5,0,20,6,True,1
