"id","obs_date","asm","asm_d11","asm_d","asm_d_d11","asm_i","asm_i_d11","rpm","rpm_d11","rpm_d","rpm_d_d11","rpm_i","rpm_i_d11","load_factor","load_factor_d11","load_factor_d","load_factor_d_d11","load_factor_i","load_factor_i_d11","enplane_i","enplane_i_d11","enplane_d","enplane_d_d11","enplane","enplane_d11","air_rpm_tsi","air_rpm_tsi_d11","air_rtmfm","air_rtmfm_d11","rail_frt_carloads","rail_frt_carloads_d11","rail_frt_intermodal","rail_frt_intermodal_d11","rail_pm","rail_pm_d11","transit","transit_d11","petroleum","petroleum_d11","natural_gas","natural_gas_d11","waterborne","waterborne_d11","truck_d11","vmt","vmt_d11","tsi_freight","tsi_freight_c","tsi_passenger","tsi_passenger_c","tsi_total","tsi_total_c","ind_pro","manuf","inv_to_sales","idx_air_rpm","idx_air_rtmfm","idx_rail_frt_carloads","idx_rail_frt_intermodal","idx_rail_pm","idx_transit_d11","idx_petroleum_d11","idx_natural_gas_d11","idx_waterborne_d11","idx_truck_d11"
"SATD200001","2000-01-01T00:00:00.000","76146639","77914484","56288872","57557552","19857767","20356932","48263245","53684501","34913749","39504716","13349496","14179786","63.4","68.9","62","68.6","67.2","69.7","4952","5184","41540","47810","46492","52993","49843099","55919667","2182683","2469989","1354273","1373725","702849","744428","366607410","444793712","724934","769514","215985","212538","2510.5","1811.5","48.4","55.4","79.9","203442","227235","104.8",,"95.6",,"101.9",,"93.84113708422746","78.38844464983661","1.58","0.9482","0.9621","1.0152","1.0028","0.9548","0.9773","0.9498","0.966","1.1204","1.0665"
"SATD200002","2000-02-01T00:00:00.000","73011377","78568081","54329819","57831150","18681558","20736931","48580127","55661680","36005847","40670086","12574280","14991594","66.5","70.8","66.3","70.3","67.3","72.3","4812","5445","43714","48570","48526","54014","49931931","57645950","2341123","2528615","1296439","1368786","690991","743702","366139276","440662872","756536","770004","210132","227625","2330.7","1841.2","42","48.6","79","199261","228727","103.6","-1.2","97.7","2.2","101.7","-0.2","94.16482562457853","75.58162449610371","1.56","0.9775","0.985","1.0116","1.0018","0.946","0.9779","1.0172","0.9819","0.9844","1.0543"
"SATD200003","2000-03-01T00:00:00.000","80308529","79338084","59913798","58415334","20394731","20922749","59632014","56832456","43901516","41260378","15730498","15572078","74.3","71.6","73.3","70.6","77.1","74.4","5787","5550","52977","48822","58764","54371","61478163","58620342","2699632","2496183","1404269","1363006","749444","745640","453096388","458370863","843730","786164","216833","219829","2050.6","1721","52.5","52.5","74.7","232490","230237","99.7","-3.7","99.5","1.8","99.7","-2","94.53286349871696","77.67017790528482","1.54","0.994","0.9723","1.0073","1.0044","0.984","0.9984","0.9824","0.9178","1.0619","0.9976"
"SATD200004","2000-04-01T00:00:00.000","78139993","79325438","57402637","58370954","20737356","20954484","57636732","57849457","41954244","41818058","15682488","16031399","73.8","72.9","73.1","71.6","75.6","76.5","5688","5700","50344","49834","56032","55535","58981617","58972133","2528558","2549886","1341461","1354922","727542","742927","473751011","467481884","757458","777020","219340","222279","1783.3","1841.3","52.2","50.8","72.4","227698","229068","97.8","-2","99.6","0.2","98.4","-1.3","95.13127152336212","79.01601104410148","1.59","0.9999","0.9933","1.0014","1.0007","1.0035","0.9868","0.9933","0.9819","1.0289","0.9664"
"SATD200005","2000-05-01T00:00:00.000","80515093","79087746","58896522","58178144","21618571","20909602","59749900","58947226","43168824","42616745","16581076","16330482","74.2","74.5","73.3","73.3","76.7","78.1","5892","5831","52309","50300","58201","56131","61223861","60895993","2528225","2521880","1393416","1359065","752142","742671","481725263","474069228","818246","783470","225649","218905","1632.9","1971.1","53.5","52.5","73.1","242501","229651","98.8","1.1","102.2","2.6","99.9","1.6","95.4072229335948","77.62905152096353","1.59","1.0326","0.9824","1.0044","1.0004","1.0177","0.995","0.9783","1.0512","1.063","0.9765"
"SATD200006","2000-06-01T00:00:00.000","80393854","79022014","58286914","57721955","22106940","21300059","64046964","58282080","45856363","41944199","18190601","16337881","79.7","73.8","78.7","72.7","82.3","76.7","6400","5737","54673","49325","61073","55062","65601574","59476655","2537148","2516255","1343794","1346753","742018","735052","517102460","457344726","793911","788393","225621","220757","1513.1","1881.4","50.4","48.5","75.2","242963","230024","99.9","1.1","100.6","-1.6","100.1","0.2","95.47610812565809","78.86840067010506","1.59","1.0085","0.9802","0.9953","0.9901","0.9818","1.0012","0.9865","1.0033","0.9822","1.0035"
"SATD200007","2000-07-01T00:00:00.000","83853711","78998766","60607052","57689848","23246659","21308918","66435577","58228140","47303803","41764928","19131774","16463212","79.2","73.7","78","72.4","82.3","77.3","7014","5821","55568","50233","62582","56054","67898320","58861628","2461623","2478979","1330434","1353621","738911","736464","564747276","471297197","743746","784623","228889","222405","1525.6","1739.5","53.3","49.6","72.8","245140","228840","97.6","-2.3","99.8","-0.8","98.3","-1.8","95.3072316115834","78.1050060551899","1.61","0.9981","0.9656","1.0004","0.992","1.0117","0.9964","0.9939","0.9276","1.0038","0.9724"
"SATD200008","2000-08-01T00:00:00.000","84702734","79321292","61479288","57928491","23223446","21392801","65252958","57199263","46457758","40835793","18795200","16363470","77","72.1","75.6","70.5","80.9","76.5","6881","5910","54474","50300","61355","56211","67028338","58752089","2623412","2567248","1423542","1354961","792621","734168","558060051","474695069","787064","785553","231542","225259","1653.1","1851.3","50.9","48.3","74.7","247832","229339","99.7","2.1","99.7","-0.1","99.7","1.4","95.05437881269832","77.02416021427042","1.61","0.9962","1","1.0014","0.9889","1.019","0.9976","1.0067","0.9873","0.9779","0.9979"
"SATD200009","2000-09-01T00:00:00.000","79912506","81493088","57899315","59909340","22013191","21583748","55470176","60236829","38372644","43118353","17097532","17118476","69.4","73.9","66.3","72","77.7","79.3","5859","6435","46363","52292","52222","58726","56441629","61536284","2711279","2760677","1381834","1371645","768195","744025","446489429","480355015","802516","794555","222945","225376","1475","1859.3","47.3","48.5","74","227899","231166","99.7","0","103.4","3.7","100.9","1.2","95.45649997113634","79.16295450375753","1.59","1.0434","1.0754","1.0137","1.0022","1.0312","1.0091","1.0072","0.9915","0.9816","0.9885"
"SATD200010","2000-10-01T00:00:00.000","82627553","81131260","60761374","59405531","21866179","21725729","57979416","59447317","41820446","42637431","16158970","16809887","70.2","73.3","68.8","71.8","73.9","77.4","5635","6209","50920","51674","56555","57883","58834210","59906098","2839068","2642484","1442723","1351187","837316","761105","462329685","484479169","851255","801023","234903","234223","1567.8","1874.1","50.8","47.8","74.2","236491","230372","99.5","-0.2","101.7","-1.7","100.2","-0.7","95.10468245518868","77.52745823645094","1.61","1.0158","1.0293","0.9986","1.0252","1.04","1.0173","1.0467","0.9994","0.968","0.9901"
"SATD200011","2000-11-01T00:00:00.000","78368993","81368017","57757912","59446870","20611081","21921147","55302968","59035860","40712967","42544734","14590001","16491127","70.6","72.6","70.5","71.6","70.8","75.2","5327","6156","49632","51597","54959","57753","56283261","59728684","2702422","2636198","1306388","1323561","734567","743121","442268378","475799676","816120","810776","226901","228402","1908.5","1969","50","48.4","74.8","222819","229865","100","0.5","101.7","0.1","100.5","0.3","95.12562519614382","77.10441223989196","1.62","1.0128","1.0269","0.9782","1.001","1.0214","1.0297","1.0207","1.05","0.9796","0.9991"
"SATD200012","2000-12-01T00:00:00.000","79075993","79705443","57886109","57885780","21189884","21819664","54460418","55735940","39656140","40528632","14804278","15207308","68.9","69.9","68.5","70","69.9","69.7","5470","5662","47051","48166","52521","53828","55380280","57387145","2707863","2637590","1258689","1315864","689989","735220","461651082","460650959","755040","798003","233175","227639","2587.5","2141.6","41.3","41.9","74.2","218390","224132","98.9","-1","98.4","-3.3","98.8","-1.8","94.80255261876204","78.1359064196259","1.63","0.9731","1.0274","0.9725","0.9904","0.9889","1.0134","1.0173","1.1421","0.848","0.9908"
"SATD200101","2001-01-01T00:00:00.000","81196157","82869540","59766686","60830491","21429471","22039049","52049391","57843428","37179562","41939495","14869829","15903933","64.1","69.8","62.2","68.9","69.4","72.2","5543","5851","44074","50051","49617","55903","53129922","59307288","2290400","2557915","1334544","1354318","698406","740444","379458113","454513685","800293","812213","228953","225496","2677","1928.1","39.3","46","74.6","209685","231442","99.3","0.4","101.2","2.8","99.9","1.1","94.335550027561","76.12960577908736","1.61","1.0056","0.9964","1.0009","0.9974","0.9757","1.0315","1.0077","1.0282","0.9318","0.9961"
"SATD200102","2001-02-01T00:00:00.000","73704583","82308877","54313589","60024706","19390994","22284171","48845243","58026538","35784235","41913205","13061008","16113333","66.3","70.5","65.9","69.8","67.4","72.3","4980","5797","43149","49694","48129","55491","49992995","59227474","2276553","2553779","1231946","1359001","647069","723571","366288212","452585464","761213","813933","199107","225677","2309.5","1862.6","40.9","47.6","74.5","200876","230672","99.2","-0.1","101.1","0","99.8","-0.1","93.71373541008356","76.9930375450543","1.6","1.0043","0.9948","1.0044","0.9747","0.9716","1.0337","1.0085","0.9933","0.963","0.9952"
"SATD200103","2001-03-01T00:00:00.000","82211844","81378583","60467225","59090834","21744619","22287749","60769073","58082414","44208143","41740074","16560930","16342339","73.9","71.4","73.1","70.6","76.2","73.3","6101","5836","53020","49458","59121","55293","62323049","59632533","2671787","2484629","1412827","1371969","739669","731009","448912584","454241021","846702","804508","225282","227930","2246.6","1892","47.1","47","74.8","232587","231165","99.4","0.3","101.3","0.1","100","0.2","93.48110672868953","75.55027952210749","1.61","1.0111","0.9678","1.014","0.9847","0.9751","1.0217","1.0186","1.0089","0.952","0.9983"
"SATD200104","2001-04-01T00:00:00.000","80938470","82151623","58851713","59735097","22086757","22416526","58479185","58700604","42363481","42085539","16115704","16615064","72.3","71.5","72","70.5","73","74.1","5900","5904","50702","49657","56602","55560","59801567","59806524","2399580","2404594","1348256","1360001","696972","712980","455496342","446711395","803744","807072","225210","228208","1807.2","1873.5","49.4","47.9","73.2","232513","232994","97.8","-1.7","101.5","0.3","98.9","-1.1","93.15249048458432","73.52952907086147","1.58","1.0141","0.9367","1.0051","0.9604","0.959","1.025","1.0198","0.9991","0.97","0.9772"
"SATD200105","2001-05-01T00:00:00.000","83754265","82228161","60862387","60097612","22891878","22130549","59190930","58138533","42517548","41774547","16673382","16363986","70.7","70.7","69.9","69.5","72.8","73.9","5911","5852","51052","49128","56963","54980","60246478","59699444","2415262","2410932","1394351","1358586","715026","706692","462376555","452359746","850680","816027","233859","226805","1522.4","1834.9","47.7","46.6","75.4","245357","232201","99.4","1.6","101.8","0.2","100.1","1.2","92.66208130055104","75.10967144791941","1.58","1.0123","0.9391","1.0041","0.9519","0.9711","1.0363","1.0136","0.9785","0.9439","1.0072"
